isogroup gene annotation,
TRINITY_DN15398_c0_g1,Probable hemoglobin and hemoglobin-haptoglobin-binding protein 3 OS=Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd) GN=HI_0712 PE=1 SV=1 E(blastx)=4e-05
TRINITY_DN5045_c0_g1,Tyrosine-protein kinase Fer OS=Drosophila melanogaster GN=FER PE=1 SV=3 E(blastx)=8e-06
TRINITY_DN20394_c0_g1,Ubiquitin fusion degradation protein 1 homolog OS=Mus musculus GN=Ufd1l PE=1 SV=2 E(blastx)=9e-37
TRINITY_DN1726_c0_g1,Adenylate kinase 9 OS=Homo sapiens GN=AK9 PE=1 SV=2 E(blastx)=2e-18
TRINITY_DN4649_c0_g1,Enhancer of rudimentary homolog OS=Danio rerio GN=erh PE=3 SV=1 E(blastx)=4e-27
TRINITY_DN8263_c0_g1,Sperm flagellar protein 2 OS=Homo sapiens GN=SPEF2 PE=2 SV=2 E(blastx)=2e-11
TRINITY_DN37470_c0_g1,Nucleobindin-1 OS=Bos taurus GN=NUCB1 PE=2 SV=1 E(blastx)=8e-18
TRINITY_DN9449_c0_g1,"Spectrin alpha chain, non-erythrocytic 1 OS=Gallus gallus GN=SPTAN1 PE=1 SV=3 E(blastx)=6e-07"
TRINITY_DN30521_c0_g1,Armadillo repeat-containing protein 4 OS=Mus musculus GN=Armc4 PE=1 SV=1 E(blastx)=9e-09
TRINITY_DN30180_c0_g1,"Tryptophan--tRNA ligase, cytoplasmic OS=Mus musculus GN=Wars PE=1 SV=2 E(blastx)=4e-34"
TRINITY_DN34818_c0_g1,Stress-induced-phosphoprotein 1 OS=Homo sapiens GN=STIP1 PE=1 SV=1 E(blastx)=4e-22
TRINITY_DN11539_c0_g1,Synaptotagmin-15 OS=Rattus norvegicus GN=Syt15 PE=2 SV=1 E(blastx)=1e-09
TRINITY_DN4871_c0_g1,Galectin-3-binding protein A OS=Danio rerio GN=lgals3bpa PE=2 SV=1 E(blastx)=5e-18
TRINITY_DN8377_c0_g1,"RNA-binding motif protein, X chromosome OS=Bos taurus GN=RBMX PE=2 SV=1 E(blastx)=7e-07"
TRINITY_DN33384_c0_g1,Probable ATP-dependent RNA helicase DDX46 OS=Danio rerio GN=ddx46 PE=2 SV=1 E(blastx)=2e-12
TRINITY_DN126_c0_g1,18 kDa learning-associated protein of slug OS=Lehmannia marginata GN=LAPS18 PE=1 SV=1 E(blastx)=5e-20
TRINITY_DN31547_c0_g1,Eukaryotic translation initiation factor 2 subunit 1 OS=Xenopus tropicalis GN=eif2s1 PE=2 SV=1 E(blastx)=4e-38
TRINITY_DN11166_c0_g1,DnaJ homolog subfamily C member 25 homolog OS=Drosophila melanogaster GN=CG7872 PE=2 SV=1 E(blastx)=2e-78
TRINITY_DN4496_c0_g1,"39S ribosomal protein L11, mitochondrial OS=Drosophila melanogaster GN=mRpL11 PE=1 SV=1 E(blastx)=7e-51"
TRINITY_DN26257_c0_g1,Protein held out wings OS=Drosophila melanogaster GN=how PE=1 SV=1 E(blastx)=8e-61
TRINITY_DN24638_c0_g1,EF-hand calcium-binding domain-containing protein 1 OS=Xenopus laevis GN=efcab1 PE=2 SV=1 E(blastx)=9e-11
TRINITY_DN23964_c0_g1,Chromodomain-helicase-DNA-binding protein Mi-2 homolog OS=Drosophila melanogaster GN=Mi-2 PE=1 SV=2 E(blastx)=5e-50
TRINITY_DN15059_c0_g1,Adenylate kinase 9 OS=Homo sapiens GN=AK9 PE=1 SV=2 E(blastx)=1e-21
TRINITY_DN23101_c1_g1,Phospholipase DDHD2 OS=Homo sapiens GN=DDHD2 PE=1 SV=2 E(blastx)=8e-06
TRINITY_DN26546_c0_g1,60S acidic ribosomal protein P0 OS=Glycine max PE=2 SV=1 E(blastx)=2e-10
TRINITY_DN34270_c0_g1,Tektin-3 OS=Homo sapiens GN=TEKT3 PE=1 SV=1 E(blastx)=2e-21
TRINITY_DN2427_c0_g1,Elongation factor 2 OS=Caenorhabditis elegans GN=eef-2 PE=2 SV=4 E(blastx)=2e-14
TRINITY_DN33220_c0_g1,Copine-6 OS=Homo sapiens GN=CPNE6 PE=1 SV=3 E(blastx)=5e-28
TRINITY_DN9543_c0_g1,Translocation protein SEC62 OS=Pongo abelii GN=SEC62 PE=2 SV=1 E(blastx)=7e-25
TRINITY_DN31923_c0_g1,"Cytochrome c oxidase assembly protein COX16 homolog, mitochondrial OS=Mus musculus GN=Cox16 PE=3 SV=1 E(blastx)=1e-05"
TRINITY_DN29461_c0_g1,Radixin OS=Mus musculus GN=Rdx PE=1 SV=3 E(blastx)=3e-26
TRINITY_DN38908_c0_g1,Selenoprotein H OS=Mus musculus GN=Selenoh PE=1 SV=2 E(blastx)=3e-14
TRINITY_DN27431_c0_g1,Multiple epidermal growth factor-like domains protein 11 OS=Homo sapiens GN=MEGF11 PE=2 SV=3 E(blastx)=5e-08
TRINITY_DN34466_c0_g1,Protein regulator of cytokinesis 1 OS=Homo sapiens GN=PRC1 PE=1 SV=2 E(blastx)=1e-22
TRINITY_DN34499_c0_g1,F-box only protein 48 OS=Mus musculus GN=Fbxo48 PE=2 SV=1 E(blastx)=8e-10
TRINITY_DN31120_c0_g1,Serine/threonine-protein kinase LATS2 OS=Homo sapiens GN=LATS2 PE=1 SV=2 E(blastx)=1e-37
TRINITY_DN8948_c0_g1,Nucleosome assembly protein 1-like 1-B OS=Xenopus laevis GN=nap1l1-b PE=1 SV=1 E(blastx)=4e-20
TRINITY_DN10469_c0_g1,Excitatory amino acid transporter 1 OS=Rattus norvegicus GN=Slc1a3 PE=1 SV=2 E(blastx)=9e-09
TRINITY_DN11702_c0_g1,Band 4.1-like protein 3 OS=Mus musculus GN=Epb41l3 PE=1 SV=1 E(blastx)=3e-09
TRINITY_DN20280_c0_g1,Ubiquitin-conjugating enzyme E2 L3 OS=Mus musculus GN=Ube2l3 PE=1 SV=1 E(blastx)=3e-43
TRINITY_DN13263_c0_g1,Deoxynucleotidyltransferase terminal-interacting protein 2 OS=Homo sapiens GN=DNTTIP2 PE=1 SV=2 E(blastx)=4e-24
TRINITY_DN39705_c0_g1,Golgin subfamily A member 4 OS=Homo sapiens GN=GOLGA4 PE=1 SV=1 E(blastx)=2e-06
TRINITY_DN24259_c0_g1,Tolloid-like protein 2 OS=Homo sapiens GN=TLL2 PE=1 SV=1 E(blastx)=6e-09
TRINITY_DN39979_c0_g1,Phosphatidylinositol 5-phosphate 4-kinase type-2 beta OS=Rattus norvegicus GN=Pip4k2b PE=1 SV=1 E(blastx)=4e-31
TRINITY_DN35191_c0_g1,Protein hu-li tai shao OS=Drosophila melanogaster GN=hts PE=1 SV=2 E(blastx)=9e-20
TRINITY_DN19221_c0_g1,Coiled-coil domain-containing protein 173 OS=Homo sapiens GN=CCDC173 PE=2 SV=2 E(blastx)=1e-06
TRINITY_DN39159_c0_g1,Monoacylglycerol lipase ABHD12 OS=Xenopus tropicalis GN=abhd12 PE=2 SV=1 E(blastx)=1e-06
TRINITY_DN4427_c0_g1,"Probable succinyl-CoA:3-ketoacid coenzyme A transferase, mitochondrial OS=Dictyostelium discoideum GN=oxct1 PE=3 SV=1 E(blastx)=2e-09"
TRINITY_DN37907_c0_g1,Elongation of very long chain fatty acids protein 5 OS=Xenopus tropicalis GN=elovl5 PE=2 SV=1 E(blastx)=7e-05
TRINITY_DN986_c0_g1,Protein disulfide-isomerase A6 homolog OS=Drosophila melanogaster GN=CaBP1 PE=1 SV=1 E(blastx)=4e-32
TRINITY_DN28509_c0_g1,FK506-binding protein 15 OS=Mus musculus GN=Fkbp15 PE=1 SV=2 E(blastx)=5e-09
TRINITY_DN2537_c0_g1,IQ and AAA domain-containing protein 1 OS=Mus musculus GN=Iqca1 PE=2 SV=2 E(blastx)=2e-20
TRINITY_DN18097_c0_g1,Nuclear migration protein nudC OS=Homo sapiens GN=NUDC PE=1 SV=1 E(blastx)=1e-18
TRINITY_DN15806_c0_g1,26S proteasome non-ATPase regulatory subunit 4 OS=Drosophila melanogaster GN=Rpn10 PE=1 SV=2 E(blastx)=6e-46
TRINITY_DN38574_c0_g1,Cytochrome b5 domain-containing protein 1 OS=Xenopus tropicalis GN=cyb5d1 PE=2 SV=1 E(blastx)=7e-35
TRINITY_DN37727_c0_g1,Calumenin-A OS=Salmo salar GN=calua PE=2 SV=1 E(blastx)=8e-19
TRINITY_DN26422_c0_g1,Sacsin OS=Mus musculus GN=Sacs PE=1 SV=2 E(blastx)=1e-08
TRINITY_DN28365_c0_g1,60S ribosomal protein L3 OS=Rattus norvegicus GN=Rpl3 PE=1 SV=3 E(blastx)=9e-32
TRINITY_DN19150_c0_g1,High mobility group-T protein OS=Oncorhynchus mykiss PE=2 SV=2 E(blastx)=2e-16
TRINITY_DN20707_c0_g1,Protein NYNRIN OS=Mus musculus GN=Nynrin PE=2 SV=2 E(blastx)=5e-10
TRINITY_DN35273_c0_g1,Cilia- and flagella-associated protein 47 OS=Homo sapiens GN=CFAP47 PE=2 SV=4 E(blastx)=7e-05
TRINITY_DN14469_c0_g1,Cilia- and flagella-associated protein 100 OS=Mus musculus GN=Cfap100 PE=2 SV=2 E(blastx)=3e-15
TRINITY_DN4942_c0_g1,Synaptotagmin-7 OS=Mus musculus GN=Syt7 PE=1 SV=1 E(blastx)=5e-26
TRINITY_DN30334_c0_g1,Protein disulfide-isomerase 2 OS=Caenorhabditis elegans GN=pdi-2 PE=1 SV=1 E(blastx)=2e-28
TRINITY_DN11223_c0_g1,N-lysine methyltransferase SETD6 OS=Rattus norvegicus GN=Setd6 PE=3 SV=1 E(blastx)=8e-07
TRINITY_DN38973_c0_g1,Nucleoprotein TPR OS=Homo sapiens GN=TPR PE=1 SV=3 E(blastx)=3e-12
TRINITY_DN1790_c0_g1,Granulins OS=Homo sapiens GN=GRN PE=1 SV=2 E(blastx)=2e-19
TRINITY_DN9572_c0_g1,Biogenesis of lysosome-related organelles complex 1 subunit 2 OS=Macaca fascicularis GN=BLOC1S2 PE=2 SV=1 E(blastx)=2e-30
TRINITY_DN29255_c0_g1,Survival of motor neuron-related-splicing factor 30 OS=Danio rerio GN=smndc1 PE=2 SV=1 E(blastx)=2e-28
TRINITY_DN2026_c0_g1,ER degradation-enhancing alpha-mannosidase-like protein 1 OS=Homo sapiens GN=EDEM1 PE=1 SV=1 E(blastx)=1e-36
TRINITY_DN21607_c1_g1,Suppressor of SWI4 1 homolog OS=Mus musculus GN=Ppan PE=1 SV=2 E(blastx)=6e-06
TRINITY_DN36539_c0_g1,Serine/arginine repetitive matrix protein 1 OS=Gallus gallus GN=SRRM1 PE=2 SV=1 E(blastx)=8e-26
TRINITY_DN27026_c0_g1,40S ribosomal protein S5 OS=Homo sapiens GN=RPS5 PE=1 SV=4 E(blastx)=4e-31
TRINITY_DN25945_c0_g1,ATP synthase subunit a OS=Lumbricus terrestris GN=ATP6 PE=3 SV=1 E(blastx)=4e-17
TRINITY_DN35478_c0_g1,Mediator of RNA polymerase II transcription subunit 19 OS=Xenopus tropicalis GN=med19 PE=2 SV=1 E(blastx)=6e-17
TRINITY_DN19625_c0_g1,V-type proton ATPase 116 kDa subunit a isoform 1 OS=Gallus gallus GN=ATP6V0A1 PE=1 SV=1 E(blastx)=3e-30
TRINITY_DN8573_c0_g1,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 7 OS=Mus musculus GN=Ndufa7 PE=1 SV=3 E(blastx)=1e-13
TRINITY_DN3046_c0_g1,60S ribosomal protein L3 (Fragment) OS=Sus scrofa GN=RPL3 PE=2 SV=1 E(blastx)=1e-27
TRINITY_DN12706_c0_g1,Regulator of G-protein signaling loco OS=Drosophila melanogaster GN=loco PE=1 SV=2 E(blastx)=1e-21
TRINITY_DN29997_c0_g1,Galactose-specific lectin nattectin OS=Thalassophryne nattereri PE=1 SV=1 E(blastx)=4e-05
TRINITY_DN32479_c0_g1,CUGBP Elav-like family member 4 OS=Macaca fascicularis GN=CELF4 PE=2 SV=1 E(blastx)=6e-30
TRINITY_DN16840_c0_g1,"28S ribosomal protein S33, mitochondrial OS=Bos taurus GN=MRPS33 PE=1 SV=2 E(blastx)=5e-34"
TRINITY_DN22162_c0_g1,Cactin OS=Mus musculus GN=Cactin PE=1 SV=2 E(blastx)=3e-16
TRINITY_DN24819_c0_g1,Probable RNA-directed DNA polymerase from transposon X-element OS=Drosophila melanogaster GN=X-element\ORF2 PE=3 SV=1 E(blastx)=5e-13
TRINITY_DN15307_c0_g1,Microsomal glutathione S-transferase 3 OS=Homo sapiens GN=MGST3 PE=1 SV=1 E(blastx)=3e-15
TRINITY_DN8419_c0_g1,Polcalcin Ole e 3 OS=Olea europaea GN=OLE3 PE=1 SV=1 E(blastx)=1e-05
TRINITY_DN31503_c0_g1,Tetratricopeptide repeat protein 25 OS=Danio rerio GN=ttc25 PE=2 SV=1 E(blastx)=2e-35
TRINITY_DN37379_c0_g1,50S ribosomal protein L24 OS=Hyphomonas neptunium (strain ATCC 15444) GN=rplX PE=3 SV=1 E(blastx)=5e-27
TRINITY_DN24086_c0_g1,Nucleoporin Nup43 OS=Homo sapiens GN=NUP43 PE=1 SV=1 E(blastx)=1e-06
TRINITY_DN13128_c0_g1,Endoplasmic reticulum lectin 1 OS=Mus musculus GN=Erlec1 PE=1 SV=1 E(blastx)=2e-30
TRINITY_DN20176_c0_g1,Growth factor receptor-bound protein 2 OS=Gallus gallus GN=GRB2 PE=1 SV=1 E(blastx)=1e-21
TRINITY_DN38538_c0_g1,F-actin-uncapping protein LRRC16A OS=Mus musculus GN=Carmil1 PE=1 SV=2 E(blastx)=1e-10
TRINITY_DN31313_c0_g1,Glutathione S-transferase A OS=Pleuronectes platessa PE=2 SV=1 E(blastx)=4e-09
TRINITY_DN37720_c0_g1,26S proteasome non-ATPase regulatory subunit 2 OS=Rattus norvegicus GN=Psmd2 PE=1 SV=1 E(blastx)=4e-22
TRINITY_DN35755_c0_g1,Prostaglandin E synthase 3 OS=Oryctolagus cuniculus GN=PTGES3 PE=3 SV=1 E(blastx)=5e-18
TRINITY_DN17987_c0_g1,60S ribosomal protein L17 OS=Phlebotomus papatasi GN=RpL17 PE=2 SV=1 E(blastx)=6e-34
TRINITY_DN10530_c0_g1,Cilia- and flagella-associated protein 100 OS=Homo sapiens GN=CFAP100 PE=2 SV=1 E(blastx)=2e-16
TRINITY_DN33588_c0_g1,Anillin OS=Homo sapiens GN=ANLN PE=1 SV=2 E(blastx)=7e-11
TRINITY_DN36150_c0_g1,U1 small nuclear ribonucleoprotein 70 kDa OS=Drosophila melanogaster GN=snRNP-U1-70K PE=1 SV=2 E(blastx)=6e-19
TRINITY_DN20862_c0_g1,CD2 antigen cytoplasmic tail-binding protein 2 OS=Mus musculus GN=Cd2bp2 PE=1 SV=1 E(blastx)=5e-15
TRINITY_DN34447_c0_g1,"Myosin essential light chain, striated adductor muscle OS=Argopecten irradians PE=1 SV=2 E(blastx)=6e-13"
TRINITY_DN34603_c0_g1,Protein decapentaplegic OS=Drosophila melanogaster GN=dpp PE=1 SV=2 E(blastx)=3e-07
TRINITY_DN17789_c0_g1,40S ribosomal protein S14 OS=Mus musculus GN=Rps14 PE=1 SV=3 E(blastx)=9e-21
TRINITY_DN32155_c0_g1,Chromodomain-helicase-DNA-binding protein 1 OS=Bombyx mori GN=CHD1 PE=1 SV=1 E(blastx)=1e-09
TRINITY_DN28628_c0_g1,Arginine kinase OS=Haliotis madaka PE=2 SV=1 E(blastx)=2e-52
TRINITY_DN37242_c0_g1,40S ribosomal protein S6 OS=Ictalurus punctatus GN=rps6 PE=2 SV=1 E(blastx)=1e-56
TRINITY_DN29561_c0_g1,Vesicle transport protein SEC20 OS=Mus musculus GN=Bnip1 PE=1 SV=1 E(blastx)=2e-15
TRINITY_DN35247_c0_g1,Protein RUFY3 OS=Pongo abelii GN=RUFY3 PE=2 SV=1 E(blastx)=3e-27
TRINITY_DN22464_c1_g1,T-complex protein 1 subunit gamma OS=Rattus norvegicus GN=Cct3 PE=1 SV=1 E(blastx)=5e-29
TRINITY_DN9774_c0_g1,Golgin subfamily A member 2 OS=Rattus norvegicus GN=Golga2 PE=1 SV=4 E(blastx)=4e-22
TRINITY_DN26472_c0_g1,"Myosin essential light chain, striated adductor muscle OS=Argopecten irradians PE=1 SV=2 E(blastx)=3e-22"
TRINITY_DN38036_c0_g1,Beta-glucuronidase OS=Sus scrofa GN=GUSB PE=3 SV=1 E(blastx)=3e-17
TRINITY_DN7777_c0_g1,Titin OS=Drosophila melanogaster GN=sls PE=1 SV=3 E(blastx)=1e-15
TRINITY_DN1043_c0_g1,Ankyrin repeat domain-containing protein 42 OS=Mus musculus GN=Ankrd42 PE=2 SV=1 E(blastx)=4e-13
TRINITY_DN31794_c0_g1,Rho guanine nucleotide exchange factor 18 OS=Mus musculus GN=Arhgef18 PE=1 SV=2 E(blastx)=4e-09
TRINITY_DN30465_c0_g1,Sacsin OS=Mus musculus GN=Sacs PE=1 SV=2 E(blastx)=1e-06
TRINITY_DN29642_c0_g1,B-cell lymphoma/leukemia 11B OS=Homo sapiens GN=BCL11B PE=1 SV=1 E(blastx)=4e-05
TRINITY_DN34813_c0_g1,Macoilin OS=Rattus norvegicus GN=Tmem57 PE=1 SV=1 E(blastx)=9e-18
TRINITY_DN21303_c0_g1,Serine/threonine-protein kinase MRCK alpha OS=Homo sapiens GN=CDC42BPA PE=1 SV=1 E(blastx)=4e-41
TRINITY_DN6300_c0_g1,U3 small nucleolar RNA-associated protein 14 homolog A OS=Mus musculus GN=Utp14a PE=1 SV=1 E(blastx)=4e-14
TRINITY_DN595_c0_g1,Ribosomal RNA processing protein 36 homolog OS=Nematostella vectensis GN=v1g245966 PE=3 SV=1 E(blastx)=1e-12
TRINITY_DN6666_c0_g1,Protein transport protein Sec61 subunit beta OS=Pongo abelii GN=SEC61B PE=3 SV=3 E(blastx)=6e-24
TRINITY_DN21886_c0_g1,Charged multivesicular body protein 2a OS=Danio rerio GN=chmp2a PE=2 SV=1 E(blastx)=6e-19
TRINITY_DN25019_c0_g1,60S ribosomal protein L29 OS=Macaca fascicularis GN=RPL29 PE=2 SV=3 E(blastx)=4e-22
TRINITY_DN39088_c0_g1,Eukaryotic translation initiation factor 3 subunit D OS=Danio rerio GN=eif3d PE=2 SV=1 E(blastx)=5e-28
TRINITY_DN8953_c0_g1,78 kDa glucose-regulated protein OS=Aplysia californica PE=1 SV=1 E(blastx)=9e-56
TRINITY_DN31205_c0_g1,"Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 3 OS=Homo sapiens GN=ACAP3 PE=1 SV=2 E(blastx)=4e-44"
TRINITY_DN19877_c0_g1,"ATP synthase subunit gamma, mitochondrial OS=Drosophila melanogaster GN=ATPsyngamma PE=2 SV=2 E(blastx)=3e-54"
TRINITY_DN38564_c0_g1,Chymotrypsin-like serine proteinase OS=Haliotis rufescens PE=1 SV=1 E(blastx)=2e-11
TRINITY_DN39962_c0_g1,General vesicular transport factor p115 OS=Rattus norvegicus GN=Uso1 PE=1 SV=1 E(blastx)=5e-08
TRINITY_DN29680_c0_g1,CDK-activating kinase assembly factor MAT1 OS=Marthasterias glacialis PE=1 SV=1 E(blastx)=8e-23
TRINITY_DN18259_c0_g1,Putative 115 kDa protein in type-1 retrotransposable element R1DM OS=Drosophila melanogaster GN=R1A1-element\ORF2 PE=4 SV=1 E(blastx)=1e-09
TRINITY_DN18177_c0_g1,DNA polymerase delta subunit 4 OS=Bos taurus GN=POLD4 PE=1 SV=1 E(blastx)=5e-10
TRINITY_DN19640_c0_g1,"Myosin heavy chain, striated muscle OS=Argopecten irradians PE=1 SV=1 E(blastx)=7e-32"
TRINITY_DN31745_c0_g1,Complexin OS=Doryteuthis pealeii GN=cpx PE=1 SV=1 E(blastx)=9e-05
TRINITY_DN25998_c0_g1,Macoilin OS=Macaca mulatta GN=TMEM57 PE=2 SV=1 E(blastx)=3e-07
TRINITY_DN24790_c0_g1,Presenilin-1 OS=Homo sapiens GN=PSEN1 PE=1 SV=1 E(blastx)=4e-14
TRINITY_DN5624_c0_g1,40S ribosomal protein S25 OS=Ovis aries GN=RPS25 PE=2 SV=1 E(blastx)=2e-16
TRINITY_DN32450_c0_g1,"Dynein heavy chain 7, axonemal OS=Homo sapiens GN=DNAH7 PE=1 SV=2 E(blastx)=7e-14"
TRINITY_DN3282_c0_g1,U2 small nuclear ribonucleoprotein A' OS=Mus musculus GN=Snrpa1 PE=1 SV=2 E(blastx)=2e-16
TRINITY_DN35008_c0_g1,"Trans-1,2-dihydrobenzene-1,2-diol dehydrogenase OS=Danio rerio GN=dhdh PE=2 SV=2 E(blastx)=3e-11"
TRINITY_DN28023_c0_g1,Eukaryotic translation initiation factor 3 subunit A OS=Xenopus tropicalis GN=eif3a PE=2 SV=1 E(blastx)=4e-13
TRINITY_DN2764_c0_g1,Ubiquitin carboxyl-terminal hydrolase 12A OS=Danio rerio GN=usp12a PE=2 SV=1 E(blastx)=5e-11
TRINITY_DN33698_c0_g1,"Actin, alpha skeletal muscle (Fragment) OS=Pleurodeles waltl PE=2 SV=1 E(blastx)=5e-49"
TRINITY_DN33712_c0_g1,KRR1 small subunit processome component OS=Saccharomyces cerevisiae (strain Zymaflore VL3) GN=KRR1 PE=3 SV=1 E(blastx)=1e-18
TRINITY_DN17134_c0_g1,Centrosomal protein of 164 kDa OS=Mus musculus GN=Cep164 PE=1 SV=2 E(blastx)=1e-23
TRINITY_DN3467_c0_g1,Protein FRG1 OS=Takifugu rubripes GN=frg1 PE=2 SV=1 E(blastx)=3e-23
TRINITY_DN34697_c0_g1,High mobility group protein B3 OS=Mus musculus GN=Hmgb3 PE=1 SV=3 E(blastx)=6e-21
TRINITY_DN3611_c0_g1,Leucine-rich repeat-containing protein 47 OS=Mus musculus GN=Lrrc47 PE=1 SV=1 E(blastx)=1e-14
TRINITY_DN782_c0_g1,Pyridoxal 5'-phosphate synthase subunit PdxT OS=Acidothermus cellulolyticus (strain ATCC 43068 / 11B) GN=pdxT PE=3 SV=1 E(blastx)=2e-10
TRINITY_DN5998_c0_g1,Phosphoglycerate kinase OS=Drosophila melanogaster GN=Pgk PE=2 SV=2 E(blastx)=3e-28
TRINITY_DN25187_c0_g1,Endothelial PAS domain-containing protein 1 OS=Mus musculus GN=Epas1 PE=1 SV=2 E(blastx)=1e-14
TRINITY_DN9393_c0_g1,IQ domain-containing protein D OS=Homo sapiens GN=IQCD PE=2 SV=2 E(blastx)=1e-09
TRINITY_DN21632_c0_g1,60S ribosomal protein L6 OS=Caenorhabditis elegans GN=rpl-6 PE=1 SV=1 E(blastx)=1e-07
TRINITY_DN16180_c0_g1,Mitochondrial import receptor subunit TOM7 homolog OS=Homo sapiens GN=TOMM7 PE=1 SV=1 E(blastx)=4e-14
TRINITY_DN14204_c0_g1,3-oxoacyl-[acyl-carrier-protein] reductase FabG OS=Rickettsia bellii (strain RML369-C) GN=fabG PE=3 SV=1 E(blastx)=1e-08
TRINITY_DN26218_c0_g1,RNA-binding protein 47 OS=Mus musculus GN=Rbm47 PE=1 SV=1 E(blastx)=4e-49
TRINITY_DN22799_c0_g1,Matrix metalloproteinase-14 OS=Sus scrofa GN=MMP14 PE=2 SV=1 E(blastx)=3e-05
TRINITY_DN28239_c0_g1,U4/U6 small nuclear ribonucleoprotein Prp31 OS=Mus musculus GN=Prpf31 PE=1 SV=3 E(blastx)=6e-27
TRINITY_DN25207_c0_g1,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial OS=Gekko japonicus GN=NDUFS4 PE=2 SV=1 E(blastx)=1e-28"
TRINITY_DN18812_c0_g1,Nucleobindin-2 OS=Rattus norvegicus GN=Nucb2 PE=1 SV=1 E(blastx)=3e-14
TRINITY_DN27535_c0_g1,Titin OS=Drosophila melanogaster GN=sls PE=1 SV=3 E(blastx)=4e-15
TRINITY_DN7977_c0_g1,CD109 antigen OS=Homo sapiens GN=CD109 PE=1 SV=2 E(blastx)=5e-08
TRINITY_DN7740_c0_g1,Polyadenylate-binding protein 2 OS=Arabidopsis thaliana GN=PABN2 PE=1 SV=1 E(blastx)=8e-09
TRINITY_DN36312_c0_g1,"5-demethoxyubiquinone hydroxylase, mitochondrial OS=Mus musculus GN=Coq7 PE=1 SV=3 E(blastx)=2e-20"
TRINITY_DN22633_c0_g1,Elongation of very long chain fatty acids protein 4 OS=Macaca mulatta GN=ELOVL4 PE=3 SV=1 E(blastx)=3e-24
TRINITY_DN31006_c0_g1,Heterogeneous nuclear ribonucleoprotein U-like protein 1 OS=Mus musculus GN=Hnrnpul1 PE=1 SV=1 E(blastx)=5e-35
TRINITY_DN31721_c0_g1,Chromobox protein homolog 6 OS=Mus musculus GN=Cbx6 PE=1 SV=2 E(blastx)=1e-19
TRINITY_DN32989_c0_g1,40S ribosomal protein S3a OS=Cicer arietinum PE=2 SV=1 E(blastx)=1e-18
TRINITY_DN31674_c0_g1,Eukaryotic translation initiation factor 6 OS=Bos taurus GN=EIF6 PE=2 SV=2 E(blastx)=2e-31
TRINITY_DN25245_c0_g1,"Probable 28S ribosomal protein S10, mitochondrial OS=Danio rerio GN=mrps10 PE=3 SV=1 E(blastx)=2e-18"
TRINITY_DN10207_c0_g1,Cat eye syndrome critical region protein 2 OS=Homo sapiens GN=CECR2 PE=1 SV=2 E(blastx)=2e-10
TRINITY_DN5156_c0_g1,"Succinate--CoA ligase [ADP/GDP-forming] subunit alpha, mitochondrial OS=Rattus norvegicus GN=Suclg1 PE=2 SV=2 E(blastx)=9e-23"
TRINITY_DN35132_c0_g1,LINE-1 retrotransposable element ORF2 protein OS=Mus musculus GN=Pol PE=1 SV=2 E(blastx)=2e-10
TRINITY_DN21852_c0_g1,40S ribosomal protein S30 OS=Oryzias latipes GN=fau PE=3 SV=2 E(blastx)=1e-14
TRINITY_DN17855_c0_g1,Nucleolar protein 10 OS=Rattus norvegicus GN=Nol10 PE=2 SV=1 E(blastx)=8e-07
TRINITY_DN9091_c0_g1,Thiosulfate sulfurtransferase OS=Cricetulus griseus GN=TST PE=2 SV=2 E(blastx)=8e-11
TRINITY_DN34207_c0_g1,"Spectrin beta chain, non-erythrocytic 1 OS=Mus musculus GN=Sptbn1 PE=1 SV=2 E(blastx)=8e-33"
TRINITY_DN39477_c0_g1,Zinc finger RNA-binding protein OS=Rattus norvegicus GN=Zfr PE=1 SV=2 E(blastx)=1e-09
TRINITY_DN13338_c0_g1,Probable protein phosphatase 2C T23F11.1 OS=Caenorhabditis elegans GN=ppm-2 PE=3 SV=2 E(blastx)=2e-05
TRINITY_DN27365_c0_g1,Dipeptidyl peptidase 1 OS=Mus musculus GN=Ctsc PE=1 SV=1 E(blastx)=6e-06
TRINITY_DN33935_c0_g1,40S ribosomal protein S3-3 OS=Arabidopsis thaliana GN=RPS3C PE=1 SV=1 E(blastx)=2e-08
TRINITY_DN36179_c0_g1,Vesicle-trafficking protein SEC22b-B OS=Danio rerio GN=sec22bb PE=2 SV=1 E(blastx)=4e-68
TRINITY_DN39887_c0_g1,"Calcium uptake protein 1, mitochondrial OS=Rattus norvegicus GN=Micu1 PE=2 SV=1 E(blastx)=1e-06"
TRINITY_DN35945_c0_g1,Piwi-like protein 1 OS=Homo sapiens GN=PIWIL1 PE=1 SV=1 E(blastx)=2e-43
TRINITY_DN1965_c0_g1,RNA exonuclease 4 OS=Xenopus tropicalis GN=rexo4 PE=2 SV=1 E(blastx)=7e-08
TRINITY_DN2325_c0_g1,Prenylcysteine oxidase OS=Mus musculus GN=Pcyox1 PE=1 SV=1 E(blastx)=9e-19
TRINITY_DN10075_c0_g1,SRSF protein kinase 2 OS=Mus musculus GN=Srpk2 PE=1 SV=2 E(blastx)=3e-27
